source_id,glds_prefix,sample_id,raw_condition,disease_context,spaceflight_condition,true_label,microglia_condition,organoid_type,sample_table_file,parse_status,donor_or_line_id,ipsc_line_id,geo_sample_title,geo_cell_type,geo_treatment,geo_metadata_status
OSD-863,GLDS-716,GSM8115902,no.known.diseases...Space.Flight...without.microglia,no_known_diseases,LEO_or_ISS,LEO_or_ISS,without_microglia,cortical_neural_organoid,GLDS-716_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject1,051121-01-MR-017,"Subject1, Cortical organoid, without microglia, LEO1",iPSC-derived cortical organoid without microglia,38 days microgravity exposure,parsed_from_geo_series_matrix
OSD-863,GLDS-716,GSM8115903,no.known.diseases...Space.Flight...without.microglia,no_known_diseases,LEO_or_ISS,LEO_or_ISS,without_microglia,cortical_neural_organoid,GLDS-716_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject1,051121-01-MR-017,"Subject1, Cortical organoid, without microglia, LEO2",iPSC-derived cortical organoid without microglia,38 days microgravity exposure,parsed_from_geo_series_matrix
OSD-863,GLDS-716,GSM8115904,no.known.diseases...Space.Flight...with.microglia,no_known_diseases,LEO_or_ISS,LEO_or_ISS,with_microglia,cortical_neural_organoid,GLDS-716_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject1,051121-01-MR-017,"Subject1, Cortical organoid, with microglia, LEO1",iPSC-derived cortical organoid with microglia,38 days microgravity exposure,parsed_from_geo_series_matrix
OSD-863,GLDS-716,GSM8115905,no.known.diseases...Space.Flight...with.microglia,no_known_diseases,LEO_or_ISS,LEO_or_ISS,with_microglia,cortical_neural_organoid,GLDS-716_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject1,051121-01-MR-017,"Subject1, Cortical organoid, with microglia, LEO2",iPSC-derived cortical organoid with microglia,38 days microgravity exposure,parsed_from_geo_series_matrix
OSD-863,GLDS-716,GSM8115906,no.known.diseases...Space.Flight...with.microglia,no_known_diseases,LEO_or_ISS,LEO_or_ISS,with_microglia,cortical_neural_organoid,GLDS-716_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject1,051121-01-MR-017,"Subject1, Cortical organoid, with microglia, LEO3",iPSC-derived cortical organoid with microglia,38 days microgravity exposure,parsed_from_geo_series_matrix
OSD-863,GLDS-716,GSM8115907,primary.progressive.multiple.sclerosis...Space.Flight...without.microglia,primary_progressive_multiple_sclerosis,LEO_or_ISS,LEO_or_ISS,without_microglia,cortical_neural_organoid,GLDS-716_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject2,AK003-01-MR-008,"Subject2, Cortical organoid, without microglia, LEO1",iPSC-derived cortical organoid without microglia,38 days microgravity exposure,parsed_from_geo_series_matrix
OSD-863,GLDS-716,GSM8115908,primary.progressive.multiple.sclerosis...Space.Flight...without.microglia,primary_progressive_multiple_sclerosis,LEO_or_ISS,LEO_or_ISS,without_microglia,cortical_neural_organoid,GLDS-716_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject2,AK003-01-MR-008,"Subject2, Cortical organoid, without microglia, LEO2",iPSC-derived cortical organoid without microglia,38 days microgravity exposure,parsed_from_geo_series_matrix
OSD-863,GLDS-716,GSM8115909,primary.progressive.multiple.sclerosis...Space.Flight...with.microglia,primary_progressive_multiple_sclerosis,LEO_or_ISS,LEO_or_ISS,with_microglia,cortical_neural_organoid,GLDS-716_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject2,AK003-01-MR-008,"Subject2, Cortical organoid, with microglia, LEO1",iPSC-derived cortical organoid with microglia,38 days microgravity exposure,parsed_from_geo_series_matrix
OSD-863,GLDS-716,GSM8115910,primary.progressive.multiple.sclerosis...Space.Flight...with.microglia,primary_progressive_multiple_sclerosis,LEO_or_ISS,LEO_or_ISS,with_microglia,cortical_neural_organoid,GLDS-716_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject2,AK003-01-MR-008,"Subject2, Cortical organoid, with microglia, LEO2",iPSC-derived cortical organoid with microglia,38 days microgravity exposure,parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115911,no.known.diseases...Ground.Control...without.microglia,no_known_diseases,Ground,Ground,without_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject3,UEC741iPS517,"Subject3, Dopaminergic organoid, without microglia, Ground1",iPSC-derived dopaminergic organoid without microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115912,no.known.diseases...Ground.Control...without.microglia,no_known_diseases,Ground,Ground,without_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject3,UEC741iPS517,"Subject3, Dopaminergic organoid, without microglia, Ground2",iPSC-derived dopaminergic organoid without microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115913,no.known.diseases...Ground.Control...with.microglia,no_known_diseases,Ground,Ground,with_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject3,UEC741iPS517,"Subject3, Dopaminergic organoid, with microglia, Ground1",iPSC-derived dopaminergic organoid with microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115914,no.known.diseases...Ground.Control...with.microglia,no_known_diseases,Ground,Ground,with_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject3,UEC741iPS517,"Subject3, Dopaminergic organoid, with microglia, Ground2",iPSC-derived dopaminergic organoid with microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115915,no.known.diseases...Ground.Control...with.microglia,no_known_diseases,Ground,Ground,with_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject3,UEC741iPS517,"Subject3, Dopaminergic organoid, with microglia, Ground3",iPSC-derived dopaminergic organoid with microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115916,Sporadic.Parkinson.disease...Ground.Control...without.microglia,sporadic_parkinson_disease,Ground,Ground,without_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject4,HDF410iPS504,"Subject4, Dopaminergic organoid, without microglia, Ground1",iPSC-derived dopaminergic organoid without microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115917,Sporadic.Parkinson.disease...Ground.Control...without.microglia,sporadic_parkinson_disease,Ground,Ground,without_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject4,HDF410iPS504,"Subject4, Dopaminergic organoid, without microglia, Ground2",iPSC-derived dopaminergic organoid without microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115918,Sporadic.Parkinson.disease...Ground.Control...without.microglia,sporadic_parkinson_disease,Ground,Ground,without_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject4,HDF410iPS504,"Subject4, Dopaminergic organoid, without microglia, Ground3",iPSC-derived dopaminergic organoid without microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115919,Sporadic.Parkinson.disease...Ground.Control...without.microglia,sporadic_parkinson_disease,Ground,Ground,without_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject4,HDF410iPS504,"Subject4, Dopaminergic organoid, without microglia, Ground4",iPSC-derived dopaminergic organoid without microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115920,Sporadic.Parkinson.disease...Ground.Control...with.microglia,sporadic_parkinson_disease,Ground,Ground,with_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject4,HDF410iPS504,"Subject4, Dopaminergic organoid, with microglia, Ground1",iPSC-derived dopaminergic organoid with microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115921,Sporadic.Parkinson.disease...Ground.Control...with.microglia,sporadic_parkinson_disease,Ground,Ground,with_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject4,HDF410iPS504,"Subject4, Dopaminergic organoid, with microglia, Ground2",iPSC-derived dopaminergic organoid with microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115922,Sporadic.Parkinson.disease...Ground.Control...with.microglia,sporadic_parkinson_disease,Ground,Ground,with_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject4,HDF410iPS504,"Subject4, Dopaminergic organoid, with microglia, Ground3",iPSC-derived dopaminergic organoid with microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115923,no.known.diseases...Space.Flight...without.microglia,no_known_diseases,LEO_or_ISS,LEO_or_ISS,without_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject3,UEC741iPS517,"Subject3, Dopaminergic organoid, without microglia, LEO1",iPSC-derived dopaminergic organoid without microglia,38 days microgravity exposure,parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115924,no.known.diseases...Space.Flight...without.microglia,no_known_diseases,LEO_or_ISS,LEO_or_ISS,without_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject3,UEC741iPS517,"Subject3, Dopaminergic organoid, without microglia, LEO2",iPSC-derived dopaminergic organoid without microglia,38 days microgravity exposure,parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115925,no.known.diseases...Space.Flight...without.microglia,no_known_diseases,LEO_or_ISS,LEO_or_ISS,without_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject3,UEC741iPS517,"Subject3, Dopaminergic organoid, without microglia, LEO3",iPSC-derived dopaminergic organoid without microglia,38 days microgravity exposure,parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115926,no.known.diseases...Space.Flight...with.microglia,no_known_diseases,LEO_or_ISS,LEO_or_ISS,with_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject3,UEC741iPS517,"Subject3, Dopaminergic organoid, with microglia, LEO1",iPSC-derived dopaminergic organoid with microglia,38 days microgravity exposure,parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115927,no.known.diseases...Space.Flight...with.microglia,no_known_diseases,LEO_or_ISS,LEO_or_ISS,with_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject3,UEC741iPS517,"Subject3, Dopaminergic organoid, with microglia, LEO2",iPSC-derived dopaminergic organoid with microglia,38 days microgravity exposure,parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115928,Sporadic.Parkinson.disease...Space.Flight...without.microglia,sporadic_parkinson_disease,LEO_or_ISS,LEO_or_ISS,without_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject4,HDF410iPS504,"Subject4, Dopaminergic organoid, without microglia, LEO1",iPSC-derived dopaminergic organoid without microglia,38 days microgravity exposure,parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115929,Sporadic.Parkinson.disease...Space.Flight...without.microglia,sporadic_parkinson_disease,LEO_or_ISS,LEO_or_ISS,without_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject4,HDF410iPS504,"Subject4, Dopaminergic organoid, without microglia, LEO2",iPSC-derived dopaminergic organoid without microglia,38 days microgravity exposure,parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115930,Sporadic.Parkinson.disease...Space.Flight...without.microglia,sporadic_parkinson_disease,LEO_or_ISS,LEO_or_ISS,without_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject4,HDF410iPS504,"Subject4, Dopaminergic organoid, without microglia, LEO3",iPSC-derived dopaminergic organoid without microglia,38 days microgravity exposure,parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115931,Sporadic.Parkinson.disease...Space.Flight...without.microglia,sporadic_parkinson_disease,LEO_or_ISS,LEO_or_ISS,without_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject4,HDF410iPS504,"Subject4, Dopaminergic organoid, without microglia, LEO4",iPSC-derived dopaminergic organoid without microglia,38 days microgravity exposure,parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115932,Sporadic.Parkinson.disease...Space.Flight...with.microglia,sporadic_parkinson_disease,LEO_or_ISS,LEO_or_ISS,with_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject4,HDF410iPS504,"Subject4, Dopaminergic organoid,  with microglia , LEO1",iPSC-derived dopaminergic organoid with microglia,38 days microgravity exposure,parsed_from_geo_series_matrix
OSD-871,GLDS-720,GSM8115933,Sporadic.Parkinson.disease...Space.Flight...with.microglia,sporadic_parkinson_disease,LEO_or_ISS,LEO_or_ISS,with_microglia,dopaminergic_neural_organoid,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject4,HDF410iPS504,"Subject4, Dopaminergic organoid, with microglia, LEO2",iPSC-derived dopaminergic organoid with microglia,38 days microgravity exposure,parsed_from_geo_series_matrix
