task_id,fold_id,test_mission,train_missions,n_train,n_test,train_y_rows,test_y_rows,selected_gene_count,fold_dir,train_X,test_X
A2_gastrocnemius_bulk_lomo,fold_RR-9_test,RR-9,RR-1;RR-5,24,8,24,8,15760,tasks/A2_gastrocnemius_lomo/fold_RR-9_test,tasks/A2_gastrocnemius_lomo/fold_RR-9_test/train_X.csv,tasks/A2_gastrocnemius_lomo/fold_RR-9_test/test_X.csv
A3_kidney_bulk_lomo,fold_RR-1_test,RR-1,RR-3;RR-7,106,12,106,12,19561,tasks/A3_kidney_lomo/fold_RR-1_test,tasks/A3_kidney_lomo/fold_RR-1_test/train_X.csv,tasks/A3_kidney_lomo/fold_RR-1_test/test_X.csv
A3_kidney_bulk_lomo,fold_RR-3_test,RR-3,RR-1;RR-7,106,12,106,12,19561,tasks/A3_kidney_lomo/fold_RR-3_test,tasks/A3_kidney_lomo/fold_RR-3_test/train_X.csv,tasks/A3_kidney_lomo/fold_RR-3_test/test_X.csv
A3_kidney_bulk_lomo,fold_RR-7_test,RR-7,RR-1;RR-3,24,94,24,94,19561,tasks/A3_kidney_lomo/fold_RR-7_test,tasks/A3_kidney_lomo/fold_RR-7_test/train_X.csv,tasks/A3_kidney_lomo/fold_RR-7_test/test_X.csv
A4_thymus_bulk_lomo,fold_MHU-1_test,MHU-1,MHU-2;RR-6;RR-9,61,6,61,6,21176,tasks/A4_thymus_lomo/fold_MHU-1_test,tasks/A4_thymus_lomo/fold_MHU-1_test/train_X.csv,tasks/A4_thymus_lomo/fold_MHU-1_test/test_X.csv
A4_thymus_bulk_lomo,fold_MHU-2_test,MHU-2,MHU-1;RR-6;RR-9,61,6,61,6,21176,tasks/A4_thymus_lomo/fold_MHU-2_test,tasks/A4_thymus_lomo/fold_MHU-2_test/train_X.csv,tasks/A4_thymus_lomo/fold_MHU-2_test/test_X.csv
A4_thymus_bulk_lomo,fold_RR-6_test,RR-6,MHU-1;MHU-2;RR-9,32,35,32,35,21176,tasks/A4_thymus_lomo/fold_RR-6_test,tasks/A4_thymus_lomo/fold_RR-6_test/train_X.csv,tasks/A4_thymus_lomo/fold_RR-6_test/test_X.csv
A4_thymus_bulk_lomo,fold_RR-9_test,RR-9,MHU-1;MHU-2;RR-6,47,20,47,20,21176,tasks/A4_thymus_lomo/fold_RR-9_test,tasks/A4_thymus_lomo/fold_RR-9_test/train_X.csv,tasks/A4_thymus_lomo/fold_RR-9_test/test_X.csv
A5_skin_bulk_lomo,fold_MHU-2_test,MHU-2,RR-6;RR-7,67,35,67,35,20110,tasks/A5_skin_lomo/fold_MHU-2_test,tasks/A5_skin_lomo/fold_MHU-2_test/train_X.csv,tasks/A5_skin_lomo/fold_MHU-2_test/test_X.csv
A5_skin_bulk_lomo,fold_RR-6_test,RR-6,MHU-2;RR-7,65,37,65,37,20110,tasks/A5_skin_lomo/fold_RR-6_test,tasks/A5_skin_lomo/fold_RR-6_test/train_X.csv,tasks/A5_skin_lomo/fold_RR-6_test/test_X.csv
A5_skin_bulk_lomo,fold_RR-7_test,RR-7,MHU-2;RR-6,72,30,72,30,20110,tasks/A5_skin_lomo/fold_RR-7_test,tasks/A5_skin_lomo/fold_RR-7_test/train_X.csv,tasks/A5_skin_lomo/fold_RR-7_test/test_X.csv
A6_eye_bulk_lomo,fold_RR-1_test,RR-1,RR-3;OSD-397,25,12,25,12,20294,tasks/A6_eye_lomo/fold_RR-1_test,tasks/A6_eye_lomo/fold_RR-1_test/train_X.csv,tasks/A6_eye_lomo/fold_RR-1_test/test_X.csv
A6_eye_bulk_lomo,fold_RR-3_test,RR-3,RR-1;OSD-397,28,9,28,9,20294,tasks/A6_eye_lomo/fold_RR-3_test,tasks/A6_eye_lomo/fold_RR-3_test/train_X.csv,tasks/A6_eye_lomo/fold_RR-3_test/test_X.csv
A6_eye_bulk_lomo,fold_OSD-397_test,OSD-397,RR-1;RR-3,21,16,21,16,20294,tasks/A6_eye_lomo/fold_OSD-397_test,tasks/A6_eye_lomo/fold_OSD-397_test/train_X.csv,tasks/A6_eye_lomo/fold_OSD-397_test/test_X.csv
