source_id,glds_prefix,osd_url,url_or_accession,mission,tissue,organism,taxon_id,species_common_name,material_type,model_system,biospecimen_type,assay_modality,platform,spaceflight_environment,ground_control_type,donor_or_strain_block,orthology_strategy,feature_namespace,task_ids,task_families,variants,access_status,privacy_class,checksum_status,release_target,notes
OSD-245,GLDS-245,https://osdr.nasa.gov/bio/repo/data/studies/OSD-245,OSD-245,RR-6,liver,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,liver,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A1_liver_bulk_lomo;A1_liver_bulk_lomo_combat;A1_liver_bulk_lomo_iss_only,bulk_lomo,canonical;combat;iss_only,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,
OSD-253,GLDS-253,https://osdr.nasa.gov/bio/repo/data/studies/OSD-253,OSD-253,RR-7,kidney,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,kidney,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A3_kidney_bulk_lomo,bulk_lomo,canonical,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,
OSD-254,GLDS-254,https://osdr.nasa.gov/bio/repo/data/studies/OSD-254,OSD-254,RR-7,skin,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,skin,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A5_skin_bulk_lomo,bulk_lomo,canonical,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,Mixed strain (C57BL/6J + C3H/HeJ). Use C57BL/6J subset only for Track 2a.
OSD-289,GLDS-289,https://osdr.nasa.gov/bio/repo/data/studies/OSD-289,OSD-289,MHU-2,thymus,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,thymus,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A4_thymus_bulk_lomo,bulk_lomo,canonical,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,
OSD-326,GLDS-326,https://osdr.nasa.gov/bio/repo/data/studies/OSD-326,OSD-326,RR-9,gastrocnemius,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,gastrocnemius,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A2_gastrocnemius_bulk_lomo,bulk_lomo,canonical,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,
OSD-379,GLDS-379,https://osdr.nasa.gov/bio/repo/data/studies/OSD-379,OSD-379,RR-8,liver,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,liver,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A1_liver_bulk_lomo;A1_liver_bulk_lomo_combat;A1_liver_bulk_lomo_iss_only,bulk_lomo,canonical;combat;iss_only,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,
OSD-397,GLDS-397,https://osdr.nasa.gov/bio/repo/data/studies/OSD-397,OSD-397,OSD-397,eye,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,eye,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A6_eye_bulk_lomo,bulk_lomo,canonical,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,Stable public mission label OSD-397. Legacy processed files may still use TBD.
OSD-401,GLDS-401,https://osdr.nasa.gov/bio/repo/data/studies/OSD-401,OSD-401,RR-5,gastrocnemius,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,gastrocnemius,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A2_gastrocnemius_bulk_lomo,bulk_lomo,canonical,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,
OSD-421,GLDS-421,https://osdr.nasa.gov/bio/repo/data/studies/OSD-421,OSD-421,RR-9,thymus,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,thymus,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A4_thymus_bulk_lomo,bulk_lomo,canonical,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,
OSD-48,GLDS-48,https://osdr.nasa.gov/bio/repo/data/studies/OSD-48,OSD-48,RR-1,liver,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,liver,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A1_liver_bulk_lomo;A1_liver_bulk_lomo_combat;A1_liver_bulk_lomo_iss_only,bulk_lomo,canonical;combat;iss_only,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,
OSD-686,GLDS-617,https://osdr.nasa.gov/bio/repo/data/studies/OSD-686,OSD-686,MHU-2,liver,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,liver,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A1_liver_bulk_lomo;A1_liver_bulk_lomo_combat,bulk_lomo,canonical;combat,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,"GLDS-617 RNA-seq files. Has 3 groups: uG, 1G-centrifuge, GC"
