inventory_id,asset_path,asset_family,asset_class,file_type,exists,bytes,sha256,current_use,promotion_status,notes
v9_sc_001_rrrm_asset_inventory,v2/scripts/rrrm1_f2b_pseudobulk_fgsea.py,RRRM-1,script,py,true,23566,5b6f346e4ebd2180cbc5b440be687de5cdedfc01d8c3f4ddeb1105193125f438,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/rrrm1_f2c_loao_classifier.py,RRRM-1,script,py,true,18697,052eaa92159f36bd4de6987a28cb03efc1bef486ef7e06ed1883a2c0f2bc7b6a,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/rrrm1_f2d_crossspecies.py,RRRM-1,script,py,true,27845,38f2274095e04b9e658ce7a8dad42091a52f009203e31e239ddd3c96a0660ea9,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/rrrm1_fig4_integrated.py,RRRM-1,script,py,true,21709,8d60500e85ae98102ab680b71a6c8bd051e5a31d34685313f2860f66b74baa36,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/rrrm1_h5ad_convert.py,RRRM-1,script,py,true,6129,3e1d789c5682b904428afa7acae97de38fd9ee8039b6fac5fab583d1b62d561a,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/rrrm1_initial_scanpy.py,RRRM-1,script,py,true,7068,c493d5e5c157b98df92526cb6480cc097ce291e4779b9de729e6e0cb5316a21d,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/rrrm1_merge_h5ad.py,RRRM-1,script,py,true,3490,b2636e512dfa77e332d32f59129a930d8d21a31f6194a88c25b2bfc733ba6b32,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/rrrm1_merge_per_srx.py,RRRM-1,script,py,true,6369,314ff2ccfffb71e63084c97e1c5245e4129c1aded7d957abab0655f013ce9c9e,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/rrrm1_osdr_download.sh,RRRM-1,script,sh,true,2134,edc85fedef02273597d943833ada8ba8f6707fbf3ed7a11b5e84574684988258,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/rrrm1_singlecell_hardening.py,RRRM-1,script,py,true,8677,e493a6224dfbecf2643abf22775c6458f10246e924c8082eb0dfed4e724c9003,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/rrrm1_starsolo_job.sh,RRRM-1,script,sh,true,3681,2105c2aa6c6dc6c6cae0495504740e55a0117a76fc020748b66569ba377d1981,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/rrrm1_starsolo_per_srx.sh,RRRM-1,script,sh,true,4860,380774d8aea9de10fa81bf4d7d920bdd6dfc3d62343f5aa0e768ce658369a86c,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/run_i4_snrnaseq_fgsea.R,RRRM-1,script,r,true,4489,9fd1de4155f1d2f5ad37f7333a775ac7bcfb2f9d4d94eadf1fe2c99c5b7d4945,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/run_i4_snrnaseq_temporal_fgsea.R,RRRM-1,script,r,true,3117,4e2ea705c21bdeb802da6e9de5d605a34b5b8aa551654d41f7e644c3036f7977,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/run_rrrm1_annotation_summary.sh,RRRM-1,script,sh,true,587,24c23ab87e4d9f274e8625c03948582708e30f539b70dc52a03883fb23c7a0c2,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/run_rrrm1_broad_annotate.sh,RRRM-1,script,sh,true,592,3be00f2060d4fb8be345d9237c3b4f64df6adee33d601fb9320060b4aff8efbc,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/run_rrrm1_h5ad_convert.sh,RRRM-1,script,sh,true,858,5b31ee4ca64d1b8416624b3feed0be5f8ab1458ecc5fdd2fb0638dde1a5a7c22,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/run_rrrm1_initial_scanpy.sh,RRRM-1,script,sh,true,590,bfa931a80c821f04e5dcf64eb2b4cad5901f9e414a1ea7c999dec27dea955d47,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/run_rrrm1_merge_h5ad.sh,RRRM-1,script,sh,true,554,7c5c260157bf310a5081b92b3418d2277dcecbac2fa27078cb949593f9c2c00f,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/run_rrrm1_singlecell_hardening.sh,RRRM-1,script,sh,true,591,6eebdf33f4920395eafc92893453da5e751e3657a45cd9fa9c4b84238872fefc,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v3/evaluation/F5A_rrrm2_composition.json,RRRM-2,evaluation_config,json,true,14521,63c2d1a8ac27c35c0d9316122b0e6e9be5548d059833ff6b2be65f577ad9c341,legacy RRRM-2 benchmark result/config surface,reference_only,do not promote as v9 score without regenerated task contract
v9_sc_001_rrrm_asset_inventory,v3/evaluation/F5B_rrrm2_fgsea.json,RRRM-2,evaluation_config,json,true,30235,1ec08289de0ade9a8945eefc360eb91699f111aecd4ef33d578124905500204e,legacy RRRM-2 benchmark result/config surface,reference_only,do not promote as v9 score without regenerated task contract
v9_sc_001_rrrm_asset_inventory,v3/evaluation/F5C_rrrm2_loao.json,RRRM-2,evaluation_config,json,true,137369,42889e703954d9e9847af68e1b2b3e18befa2d13d78ec1773ca03d3700e46d15,legacy RRRM-2 benchmark result/config surface,reference_only,do not promote as v9 score without regenerated task contract
v9_sc_001_rrrm_asset_inventory,v3/evaluation/F5D_rrrm2_cross_mission.json,RRRM-2,evaluation_config,json,true,1609,d9701f8f903481694775a1ad9c408379279f1a370b85a127768d79e00604241f,legacy RRRM-2 benchmark result/config surface,reference_only,do not promote as v9 score without regenerated task contract
v9_sc_001_rrrm_asset_inventory,v3/evaluation/F5E_rrrm2_bone_marrow.json,RRRM-2,evaluation_config,json,true,99770,a37485ce716e073b4f530898d0395a89636ee394e292301f7863090cacef01e8,legacy RRRM-2 benchmark result/config surface,reference_only,do not promote as v9 score without regenerated task contract
v9_sc_001_rrrm_asset_inventory,v3/figures/v3_Fig3_rrrm2_scrna.html,RRRM-2,figure,html,true,19313,6083008a4d8a461a31cd356191ee8fb30968d050d8d24d8ca8840d5b37bf70ec,legacy result visualization,reference_only,do not promote as v9 result
v9_sc_001_rrrm_asset_inventory,v3/scripts/convert_rrrm2_seurat_to_h5ad.R,RRRM-2,script,r,true,4120,b033dcc3ef17b06505b2c1033304396508d61b4face2f2758d7973f3f2209de0,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v3/scripts/f5_rrrm2_benchmark.py,RRRM-2,script,py,true,32907,569701e5bda89d0946de05ee552f426088cdeee49a51ed084b079c4d34762229,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v3/scripts/hpc_convert_rrrm2.sh,RRRM-2,script,sh,true,1885,b14c8488946e84c5618ee3801e4fabe4b64fb30da0b90d79b2996683cb01c8ea,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v3/scripts/hpc_f5_rrrm2.sh,RRRM-2,script,sh,true,1405,3326af9367d50d33db2dd7ec2cd302e1779329b04e04ab24b61c94fd13ff0e96,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v3/scripts/hpc_mtx_to_h5ad.sh,RRRM-2,script,sh,true,785,83d57068eaa5190c48a990dddf03ceccd37a16a5279819ae3f70619394ee483b,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v3/scripts/inspect_rrrm2_seurat.R,RRRM-2,script,r,true,1500,30287e6de6376bf3f793997368770c61de3f5a17ab14aff9809945aadd277a32,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v3/scripts/mtx_to_h5ad.py,RRRM-2,script,py,true,2966,65ecec8209dc682f89b5e67f62b92ae85108d86dc3f661c5d560b8b7e01ab614,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
